BARCAŚ	(.|#|)bartsaS(.|#|)
GÓRUCY	(.|#|)gEruts1(.|#|)
GÓSĆEŃC	(.|#|)gEstSeJts(.|#|)
GÓSĆEŃC	(.|#|)g1stSEnts(.|#|)
GRAKANJE	(.|#|)grakaJE(.|#|)
GRAŚ	(.|#|)graS(.|#|)
GRIMNUŚ	(.|#|)grjimnuS(.|#|)
GRONIŚ	(.|#|)grOJiS(.|#|)
GROPNY	(.|#|)grOpn1(.|#|)
GROZNJE	(.|#|)grOzJE(.|#|)
GROZNY	(.|#|)grOzn1(.|#|)
JADNORJE	(.|#|)jadnOrjE(.|#|)
JADNORY	(.|#|)jadnOr1(.|#|)
JĚDERNY	(.|#|)jjidErn1(.|#|)
JĚROSĆ	(.|#|)jjirOstS(.|#|)
JĚRY	(.|#|)jjir1(.|#|)
JĚŚ	(.|#|)jjiS(.|#|)
JĚZA	(.|#|)jjiza(.|#|)
JĚZDŹIŚ	(.|#|)jjizdZiS(.|#|)
JĚŹ	(.|#|)jjiS(.|#|)
KAŠĆIK	(.|#|)kaStSik(.|#|)
KAZAŚ	(.|#|)kazaS(.|#|)
KLAPAŚ	(.|#|)klapaS(.|#|)
KÓZOŁ	(.|#|)k1zoU(.|#|)
KRADOSĆIWJE	(.|#|)kradOstSiwE(.|#|)
KRADU	(.|#|)kradu(.|#|)
MĚRA	(.|#|)mjira(.|#|)
MĚRIŚ	(.|#|)mjirjiS(.|#|)
MĚRNJE	(.|#|)mjirJE(.|#|)
MĚRNY	(.|#|)mjirn1(.|#|)
MĚŠAŚ	(.|#|)mjiSaS(.|#|)
MĚSTNO	(.|#|)mjistnO(.|#|)
MIMOMĚRY	(.|#|)mimOmjir1(.|#|)
MINUŚ	(.|#|)minuS(.|#|)
MJERWJEŃCA	(.|#|)mErweJtsa(.|#|)
MÓCNJE	(.|#|)mEtsJE(.|#|)
MÓCNJE	(.|#|)m1tsJE(.|#|)
MUDRY	(.|#|)mudr1(.|#|)
NACERJOWAŚ	(.|#|)natsErjoUaS(.|#|)
NAGLĚD	(.|#|)nagljjit(.|#|)
NAGŁY	(.|#|)nagw1(.|#|)
NAPÓRAŚ	(.|#|)nap1raS(.|#|)
NAROWNAŚ	(.|#|)naroUnaS(.|#|)
NARSKI	(.|#|)narskji(.|#|)
NATWARIŚ	(.|#|)natwarjiS(.|#|)
NJEDARA	(.|#|)JEdara(.|#|)
NJEMUDRY	(.|#|)nJEmudr1(.|#|)
NJERAŹIŚ	(.|#|)JEraZiS(.|#|)
NJERODNJE	(.|#|)JErOdJE(.|#|)
NJERODNOSĆ	(.|#|)JErOdnOstS(.|#|)
NJERODNY	(.|#|)JErOdn1(.|#|)
NJEROŹ	(.|#|)JErOS(.|#|)
NJEROZYM	(.|#|)JErOz1m(.|#|)
NJESROMNJE	(.|#|)JEsrOmJE(.|#|)
NJESROMNY	(.|#|)JEsrOmn1(.|#|)
NJEWÓTSROMANY	(.|#|)JEwEtsrOman1(.|#|)
NJEWÓTSROMANY	(.|#|)JEw1tsrOman1(.|#|)
PJEKORIŚ	(.|#|)pEkOrjiS(.|#|)
PÓCHMURNY	(.|#|)pExmurn1(.|#|)
PÓCHMURNY	(.|#|)p1xmurn1(.|#|)
PÓDNURIŚ	(.|#|)p1dnurjiS(.|#|)
PÓDNURIŚ	(.|#|)pEdnurjiS(.|#|)
PÓDNURJAŚ	(.|#|)p1dnurjaS(.|#|)
PÓDNURJAŚ	(.|#|)pEdnurjaS(.|#|)
PÓDPĚRAŚ	(.|#|)pEtpjiraS(.|#|)
PÓDPĚRAŚ	(.|#|)p1tpjiraS(.|#|)
PÓDPRĚŚ	(.|#|)pEtprjjiS(.|#|)
PÓDPRĚŚ	(.|#|)p1tprjjiS(.|#|)
PÓDŠMARNUŚ	(.|#|)pEtSmarnuS(.|#|)
PÓDŠMARNUŚ	(.|#|)p1tSmarnuS(.|#|)
PÓGÓNIŚ	(.|#|)pEgEJiS(.|#|)
PÓGÓNJOWAŚ	(.|#|)pEgEJoUaS(.|#|)
PÓRAŚ	(.|#|)pEraS(.|#|)
PRASKAŚ	(.|#|)praskaS(.|#|)
PRASNUŚ	(.|#|)prasnuS(.|#|)
PRĚDK	(.|#|)prjjitk(.|#|)
PŚERUBAŚ	(.|#|)pSErubaS(.|#|)
PŚETRAŚ	(.|#|)pSEtraS(.|#|)
PŚEWOBROŚIŚ	(.|#|)pSEObrOSiS(.|#|)
PŚEWOBROŚOWAŚ	(.|#|)pSEObrOSoUaS(.|#|)
PŚIPRASKAŚ	(.|#|)pSipraskaS(.|#|)
PŚIRĚZAŚ	(.|#|)pSirjjizaS(.|#|)
PŚIRĚZOWAŚ	(.|#|)pSirjjizoUaS(.|#|)
PŚIWOBROŚIŚ	(.|#|)pSiObrOSiS(.|#|)
PŚIWOBROŚOWAŚ	(.|#|)pSiObrOSoUaS(.|#|)
PUŠĆAŚ	(.|#|)puStSaS(.|#|)
RADNJE	(.|#|)radJE(.|#|)
RADNY	(.|#|)radn1(.|#|)
RAŹIŚ	(.|#|)raZiS(.|#|)
RAZ	(.|#|)ras(.|#|)
RĚDKI	(.|#|)rjjitkji(.|#|)
RĚDNY	(.|#|)rjjidn1(.|#|)
RĚD	(.|#|)rjjit(.|#|)
RĚZNUŚ	(.|#|)rjjiznuS(.|#|)
ROD	(.|#|)rOt(.|#|)
ROLA	(.|#|)rOla(.|#|)
ROWNAŚ	(.|#|)roUnaS(.|#|)
ROWNOWEN	(.|#|)roUnoUEn(.|#|)
ROZBĚŽAŚ	(.|#|)rOzbjiZaS(.|#|)
ROZBIJAŚ	(.|#|)rOzbijaS(.|#|)
ROZBIŚ	(.|#|)rOzbiS(.|#|)
ROZBUŹOWAŚ	(.|#|)rOzbuZoUaS(.|#|)
ROZĆĚGNUŚ	(.|#|)rOstSjignuS(.|#|)
ROZĆĚGOWAŚ	(.|#|)rOstSjigoUaS(.|#|)
ROZGLĚD	(.|#|)rOzgljjit(.|#|)
ROŽK	(.|#|)rOSk(.|#|)
ROZMYSLOWAŚ	(.|#|)rOzm1sloUaS(.|#|)
ROZPYRIŚ	(.|#|)rOsp1rjiS(.|#|)
ROZSUŹIŚ	(.|#|)rOsuZiS(.|#|)
ROZSUŹOWAŚ	(.|#|)rOsuZoUaS(.|#|)
ROZŠYRIŚ	(.|#|)rOsS1rjiS(.|#|)
ROZŠYRJAŚ	(.|#|)rOsS1rjaS(.|#|)
ROZŠYRJENJE	(.|#|)rOsS1reJE(.|#|)
ROZŠYRJOWAŚ	(.|#|)rOsS1rjoUaS(.|#|)
ROZWĚZAŚ	(.|#|)rOzwjizaS(.|#|)
ROZWĚZOWAŚ	(.|#|)rOzwjizoUaS(.|#|)
ROZWIJAŚ	(.|#|)rOzwijaS(.|#|)
ROZWIŚ	(.|#|)rOzwiS(.|#|)
ROZYMLIWY	(.|#|)rOz1mljiw1(.|#|)
ROZYM	(.|#|)rOz1m(.|#|)
RUBAŚ	(.|#|)rubaS(.|#|)
RYŚ	(.|#|)r1S(.|#|)
SE	(.|#|)sE(.|#|)
ŠKJARCAŚ	(.|#|)SkjartsaS(.|#|)
SKJARŽYŚ	(.|#|)skjarZ1S(.|#|)
SKÓŃCOWAŚ	(.|#|)skEJtsoUaS(.|#|)
ŠMARA	(.|#|)Smara(.|#|)
SPÓDOBNY	(.|#|)sp1dObn1(.|#|)
SPÓDOBNY	(.|#|)spEdObn1(.|#|)
SPÓRAŚ	(.|#|)spEraS(.|#|)
SPÓRAŚ	(.|#|)sp1raS(.|#|)
SPROCNIWY	(.|#|)sprOtsJiw1(.|#|)
STARAŚ	(.|#|)staraS(.|#|)
STARCYŚ	(.|#|)starts1S(.|#|)
STARKAŚ	(.|#|)starkaS(.|#|)
ŠUROWAŚ	(.|#|)SuroUaS(.|#|)
SWÓJ	(.|#|)swEji(.|#|)
TERGAŚ	(.|#|)tErgaS(.|#|)
TRĚŚ	(.|#|)trjjiS(.|#|)
TUSNUŚ	(.|#|)tusnuS(.|#|)
TUŽYCA	(.|#|)tuZ1tsa(.|#|)
WARCAŚ	(.|#|)wartsaS(.|#|)
WARCATY	(.|#|)wartsat1(.|#|)
WAWRJAWA	(.|#|)waUrjaUa(.|#|)
WAWRJENJE	(.|#|)waUreJE(.|#|)
WOBGRONIŚ	(.|#|)hObgrOJiS(.|#|)
WOBGROŹENJE	(.|#|)QObgrOZeJE(.|#|)
WOBGROŹIŚ	(.|#|)hObgrOZiS(.|#|)
WOBGROŹOWAŚ	(.|#|)hObgrOZoUaS(.|#|)
WOBŁOŽENJE	(.|#|)hObwOZEJE(.|#|)
WOBMANIŚ	(.|#|)hObmaJiS(.|#|)
WOBROŚIŚ	(.|#|)hObrOSiS(.|#|)
WOBROŚIŚ	(.|#|)ObrOSiS(.|#|)
WOBROŚOWAŚ	(.|#|)hObrOSoUaS(.|#|)
WOBRUBIŚ	(.|#|)hObrubiS(.|#|)
WOBSTARAŚ	(.|#|)hOpstaraS(.|#|)
WOBTWARŹIŚ	(.|#|)QOptwarZiS(.|#|)
WOBTWARŹOWAŚ	(.|#|)hOptwarZoUaS(.|#|)
WOBZWARNOWAŚ	(.|#|)QObzwarnoUaS(.|#|)
WÓSEBNJE	(.|#|)wEsEbJE(.|#|)
WÓSŁABJENJE	(.|#|)wEswabeJE(.|#|)
WÓSŁABJENJE	(.|#|)w1swabeJE(.|#|)
WÓTEBĚRAŚ	(.|#|)w1tEbjiraS(.|#|)
WÓTEGRANJAŚ	(.|#|)wEtEgraJaS(.|#|)
WÓTEGRONIŚ	(.|#|)wEtEgrOJiS(.|#|)
WÓTEGRONIŚ	(.|#|)w1tEgrOJiS(.|#|)
WÓTGRANJAŚ	(.|#|)w1dgraJaS(.|#|)
WÓTGRANJAŚ	(.|#|)wEdgraJaS(.|#|)
WÓTGRONIŚ	(.|#|)w1dgrOJiS(.|#|)
WÓTŠĆIPOWAŚ	(.|#|)wEtStSipoUaS(.|#|)
WÓTŠĆIPOWAŚ	(.|#|)w1tStSipoUaS(.|#|)
WÓTSTARCYŚ	(.|#|)wEtstarts1S(.|#|)
WÓTSTARCYŚ	(.|#|)w1tstarts1S(.|#|)
WÓTTERGNUŚ	(.|#|)wEtErgnuS(.|#|)
WÓTTERGNUŚ	(.|#|)w1tErgnuS(.|#|)
WÓTWÓRJAŚ	(.|#|)wEtwErjaS(.|#|)
WÓTŹARŽOWAŚ	(.|#|)w1dZarZoUaS(.|#|)
WÓTŹARŽOWAŚ	(.|#|)wEdZarZoUaS(.|#|)
WÓŹIŚ	(.|#|)wEZiS(.|#|)
WUBĚRNY	(.|#|)hubjirn1(.|#|)
WUBRAŚ	(.|#|)hubraS(.|#|)
WUDERIŚ	(.|#|)hudErjiS(.|#|)
WUDRAPAŚ	(.|#|)hudrapaS(.|#|)
WUGRĚBAŚ	(.|#|)hugrjjibaS(.|#|)
WUMYSLIŚ	(.|#|)hum1sljiS(.|#|)
WUPÓRAŚ	(.|#|)hupEraS(.|#|)
WUPŚESTRĚWAŚ	(.|#|)hupSEstrjjiwaS(.|#|)
WUROWNANJE	(.|#|)huroUnaJE(.|#|)
WUROWNAŚ	(.|#|)huroUnaS(.|#|)
WUROWNOWAŚ	(.|#|)huroUnoUaS(.|#|)
WURYŚ	(.|#|)hur1S(.|#|)
WUSTRĚŚ	(.|#|)hustrjjiS(.|#|)
WUSTRĚWAŚ	(.|#|)hustrjjiwaS(.|#|)
WUŹĚRAŚ	(.|#|)huZjiraS(.|#|)
WUZGÓNIŚ	(.|#|)uzgEJiS(.|#|)
WUZGÓNIŚ	(.|#|)uzg1JiS(.|#|)
WUZGÓNJOWAŚ	(.|#|)huzgEJoUaS(.|#|)
WUZWÓLOWAŚ	(.|#|)uzwEloUaS(.|#|)
ZACRĚŚ	(.|#|)zatsrjjiS(.|#|)
ZAŁAPIŚ	(.|#|)zaUapiS(.|#|)
ZALĚZĆ	(.|#|)zaljjistS(.|#|)
ZAMÓŽNY	(.|#|)zamEZn1(.|#|)
ZAPRASNUŚ	(.|#|)zaprasnuS(.|#|)
ZAPRĚŚ	(.|#|)zaprjjiS(.|#|)
ZARĚDOWAŚ	(.|#|)zarjjidoUaS(.|#|)
ZAROSĆ	(.|#|)zarOstS(.|#|)
ZAROWNANJE	(.|#|)zaroUnaJE(.|#|)
ZAROWNAŚ	(.|#|)zaroUnaS(.|#|)
ZAROWNOWAŚ	(.|#|)zaroUnoUaS(.|#|)
ŹARŽANJE	(.|#|)ZarZaJE(.|#|)
ŹARŽAŚ	(.|#|)ZarZaS(.|#|)
ZAŹARŽAŚ	(.|#|)zaZarZaS(.|#|)
ZAŹARŽOWAŚ	(.|#|)zaZarZoUaS(.|#|)
ZBĚRAŚ	(.|#|)zbjiraS(.|#|)
ZEBRAŚ	(.|#|)zEbraS(.|#|)
ZEDRANY	(.|#|)zEdran1(.|#|)
ZEPĚRAŚ	(.|#|)zEpjiraS(.|#|)
ZEPRĚŚ	(.|#|)zEprjjiS(.|#|)
ŹĚRA	(.|#|)Zjira(.|#|)
ZGRABAŚ	(.|#|)zgrabaS(.|#|)
ZMÓTANY	(.|#|)zmEtan1(.|#|)
ZMÓTANY	(.|#|)zm1tan1(.|#|)
ŽRAŚ	(.|#|)ZraS(.|#|)
ZROWNAŚ	(.|#|)zroUnaS(.|#|)
ZROZBIJAŚ	(.|#|)zrOzbijaS(.|#|)
A	(.|#|)a(.|#|)
A	(.|#|)Qa(.|#|)
ABEJCEJNICOW	(.|#|)abejtsejnitsO(.|#|)
ABEJCEJNICOW	(.|#|)abejtsejnitso(.|#|)
ABEJCEJNICOW	(.|#|)QabejtsejnitsO(.|#|)
ABEJCEJNICOW	(.|#|)Qabejtsejnitso(.|#|)
ABF	(.|#|)abf(.|#|)
ABF	(.|#|)Qabf(.|#|)
ABIJOM	(.|#|)abijOm(.|#|)
ABIJOM	(.|#|)QabijOm(.|#|)
ABLAWTOWALI	(.|#|)ablautOwali(.|#|)
ABLAWTOWALI	(.|#|)ablautowali(.|#|)
ABLAWTOWALI	(.|#|)QablautOwali(.|#|)
ABLAWTOWALI	(.|#|)Qablautowali(.|#|)
ABLAWTUJOM	(.|#|)ablautujOm(.|#|)
ABLAWTUJOM	(.|#|)QablautujOm(.|#|)
ABLAWTY	(.|#|)ablaut1(.|#|)
ABLAWTY	(.|#|)Qablaut1(.|#|)
ABM	(.|#|)abm(.|#|)
ABM	(.|#|)Qabm(.|#|)
ABMNIKA	(.|#|)abmnika(.|#|)
ABMNIKA	(.|#|)Qabmnika(.|#|)
ABNORMNU	(.|#|)abnOrmnu(.|#|)
ABNORMNU	(.|#|)QabnOrmnu(.|#|)
ABNORMNY	(.|#|)abnOrmn1(.|#|)
ABNORMNY	(.|#|)QabnOrmn1(.|#|)
ABONEMENTA	(.|#|)abOnEmEnta(.|#|)
ABONEMENTA	(.|#|)QabOnEmEnta(.|#|)
ABONĚROWAT	(.|#|)abOnjirOwat(.|#|)
ABONĚROWAT	(.|#|)abOnjirowat(.|#|)
ABONĚROWAT	(.|#|)QabOnjirOwat(.|#|)
ABONĚROWAT	(.|#|)QabOnjirowat(.|#|)
ABORTĚROWANEM	(.|#|)abOrtjirOwanEm(.|#|)
ABORTĚROWANEM	(.|#|)abOrtjirowanEm(.|#|)
ABORTĚROWANEM	(.|#|)QabOrtjirOwanEm(.|#|)
ABORTĚROWANEM	(.|#|)QabOrtjirowanEm(.|#|)
ABRAHAMOWEJ	(.|#|)abrahamOwej(.|#|)
ABRAHAMOWEJ	(.|#|)abrahamowej(.|#|)
ABRAHAMOWEJ	(.|#|)QabrahamOwej(.|#|)
ABRAHAMOWEJ	(.|#|)Qabrahamowej(.|#|)
ABRAKADABRA	(.|#|)abrakadabra(.|#|)
ABRAKADABRA	(.|#|)Qabrakadabra(.|#|)
ABRUPTNJE	(.|#|)abruptn(j|)E(.|#|)
ABRUPTNJE	(.|#|)Qabruptn(j|)E(.|#|)
ABSOLUTISTISKEJE	(.|#|)apsOlutistiskejE(.|#|)
ABSOLUTISTISKEJE	(.|#|)QapsOlutistiskejE(.|#|)
ABSOLWĚROWACHU	(.|#|)apsOlwjirOwaxu(.|#|)
ABSOLWĚROWACHU	(.|#|)apsOlwjirowaxu(.|#|)
ABSOLWĚROWACHU	(.|#|)QapsOlwjirOwaxu(.|#|)
ABSOLWĚROWACHU	(.|#|)QapsOlwjirowaxu(.|#|)
ABSTINENCLARCE	(.|#|)apstinEntslartsE(.|#|)
ABSTINENCLARCE	(.|#|)QapstinEntslartsE(.|#|)
ABSTINENCLAŔ	(.|#|)apstinEntslar(.|#|)
ABSTINENCLAŔ	(.|#|)QapstinEntslar(.|#|)
ABSTRAHĚROWACHU	(.|#|)apstrajirOwaxu(.|#|)
ABSTRAHĚROWACHU	(.|#|)apstrajirowaxu(.|#|)
ABSTRAHĚROWACHU	(.|#|)QapstrajirOwaxu(.|#|)
ABSTRAHĚROWACHU	(.|#|)Qapstrajirowaxu(.|#|)
ABSTRAKTNOSĆAMI	(.|#|)apstraktnOstSami(.|#|)
ABSTRAKTNOSĆAMI	(.|#|)apstraktnOStSami(.|#|)
ABSTRAKTNOSĆAMI	(.|#|)QapstraktnOstSami(.|#|)
ABSTRAKTNOSĆAMI	(.|#|)QapstraktnOStSami(.|#|)
ABSTRUZNEJ	(.|#|)apstruznej(.|#|)
ABSTRUZNEJ	(.|#|)Qapstruznej(.|#|)
ABT	(.|#|)abt(.|#|)
ABT	(.|#|)Qabt(.|#|)
ABTACH	(.|#|)abtax(.|#|)
ABTACH	(.|#|)Qabtax(.|#|)
ABTAJOMA	(.|#|)abtajOma(.|#|)
ABTAJOMA	(.|#|)QabtajOma(.|#|)
ABTAM	(.|#|)abtam(.|#|)
ABTAM	(.|#|)Qabtam(.|#|)
ABTISAMI	(.|#|)abtisami(.|#|)
ABTISAMI	(.|#|)Qabtisami(.|#|)
ABTOJU	(.|#|)abtOju(.|#|)
ABTOJU	(.|#|)QabtOju(.|#|)
ABTOMA	(.|#|)abtOma(.|#|)
ABTOMA	(.|#|)QabtOma(.|#|)
ABTOWNJAMI	(.|#|)abtOunjami(.|#|)
ABTOWNJAMI	(.|#|)abtounjami(.|#|)
ABTOWNJAMI	(.|#|)QabtOunjami(.|#|)
ABTOWNJAMI	(.|#|)Qabtounjami(.|#|)
ABTU	(.|#|)abtu(.|#|)
ABTU	(.|#|)Qabtu(.|#|)
ABTY	(.|#|)abt1(.|#|)
ABTY	(.|#|)Qabt1(.|#|)
ABY	(.|#|)ab1(.|#|)
ABY	(.|#|)Qab1(.|#|)
ABŚE	(.|#|)abSE(.|#|)
ABŚE	(.|#|)QabSE(.|#|)
ACALEJU	(.|#|)atsaleju(.|#|)
ACALEJU	(.|#|)Qatsaleju(.|#|)
ACCESSOIRE	(.|#|)atsEsOirE(.|#|)
ACCESSOIRE	(.|#|)QatsEsOirE(.|#|)
ACETATŽYŹEJU	(.|#|)atsEtatZ1Zeju(.|#|)
ACETATŽYŹEJU	(.|#|)QatsEtatZ1Zeju(.|#|)
ACETATŽYŹIM	(.|#|)atsEtatZ1Zim(.|#|)
ACETATŽYŹIM	(.|#|)QatsEtatZ1Zim(.|#|)
ACETATŽYŹOJU	(.|#|)atsEtatZ1ZOju(.|#|)
ACETATŽYŹOJU	(.|#|)QatsEtatZ1ZOju(.|#|)
ACETATŽYŹOMA	(.|#|)atsEtatZ1ZOma(.|#|)
ACETATŽYŹOMA	(.|#|)QatsEtatZ1ZOma(.|#|)
ACH	(.|#|)ax(.|#|)
ACH	(.|#|)Qax(.|#|)
ACUBIJACH	(.|#|)atsubijax(.|#|)
ACUBIJACH	(.|#|)Qatsubijax(.|#|)
ACURMÓDRY	(.|#|)atsurmUdr1(.|#|)
ACURMÓDRY	(.|#|)QatsurmUdr1(.|#|)
ACUROBARWNEMU	(.|#|)atsurObarwnEmu(.|#|)
ACUROBARWNEMU	(.|#|)QatsurObarwnEmu(.|#|)
AD	(.|#|)at(.|#|)
AD	(.|#|)Qat(.|#|)
ADAGIO	(.|#|)adagiO(.|#|)
ADAGIO	(.|#|)QadagiO(.|#|)
ADAPCIJA	(.|#|)adaptsija(.|#|)
ADAPCIJA	(.|#|)Qadaptsija(.|#|)
ADENAUERACH	(.|#|)adEnauErax(.|#|)
ADENAUERACH	(.|#|)QadEnauErax(.|#|)
ADIPOZITASE	(.|#|)adipOzitasE(.|#|)
ADIPOZITASE	(.|#|)QadipOzitasE(.|#|)
ADMINISTRATORJE	(.|#|)administratOr(j|)E(.|#|)
ADMINISTRATORJE	(.|#|)QadministratOr(j|)E(.|#|)
ADMIRALSKEM	(.|#|)admiralskEm(.|#|)
ADMIRALSKEM	(.|#|)QadmiralskEm(.|#|)
ADOPCIJOMA	(.|#|)adOptsijOma(.|#|)
ADOPCIJOMA	(.|#|)QadOptsijOma(.|#|)
ADOPTĚRUJUCYMA	(.|#|)adOptjirujuts1ma(.|#|)
ADOPTĚRUJUCYMA	(.|#|)QadOptjirujuts1ma(.|#|)
ADRENALINOMA	(.|#|)adrEnalinOma(.|#|)
ADRENALINOMA	(.|#|)QadrEnalinOma(.|#|)
ADRESNIKOW	(.|#|)adrEsnikO(.|#|)
ADRESNIKOW	(.|#|)adrEsniko(.|#|)
ADRESNIKOW	(.|#|)QadrEsnikO(.|#|)
ADRESNIKOW	(.|#|)QadrEsniko(.|#|)
ADRESĚROWANJA	(.|#|)adrEsjirOwanja(.|#|)
ADRESĚROWANJA	(.|#|)adrEsjirowanja(.|#|)
ADRESĚROWANJA	(.|#|)QadrEsjirOwanja(.|#|)
ADRESĚROWANJA	(.|#|)QadrEsjirowanja(.|#|)
ADRETNE	(.|#|)adrEtnE(.|#|)
ADRETNE	(.|#|)QadrEtnE(.|#|)
ADĚROWANEGO	(.|#|)adjirOwanEgO(.|#|)
ADĚROWANEGO	(.|#|)adjirowanEgO(.|#|)
ADĚROWANEGO	(.|#|)QadjirOwanEgO(.|#|)
ADĚROWANEGO	(.|#|)QadjirowanEgO(.|#|)
AFAMI	(.|#|)afami(.|#|)
AFAMI	(.|#|)Qafami(.|#|)
AFELOMA	(.|#|)afElOma(.|#|)
AFELOMA	(.|#|)QafElOma(.|#|)
AFENJAMI	(.|#|)afEnjami(.|#|)
AFENJAMI	(.|#|)QafEnjami(.|#|)
AFERACH	(.|#|)afErax(.|#|)
AFERACH	(.|#|)QafErax(.|#|)
AFEŃCOMA	(.|#|)afEjntsOma(.|#|)
AFEŃCOMA	(.|#|)afejntsOma(.|#|)
AFEŃCOMA	(.|#|)QafEjntsOma(.|#|)
AFEŃCOMA	(.|#|)QafejntsOma(.|#|)
AFGHANIŠĆNAMI	(.|#|)afghaniStSnami(.|#|)
AFGHANIŠĆNAMI	(.|#|)QafghaniStSnami(.|#|)
AFJE	(.|#|)afjE(.|#|)
AFJE	(.|#|)QafjE(.|#|)
AFRIKANARJE	(.|#|)afrikanar(j|)E(.|#|)
AFRIKANARJE	(.|#|)Qafrikanar(j|)E(.|#|)
AFROAMERIKANARJACH	(.|#|)afrOamErikanarjax(.|#|)
AFROAMERIKANARJACH	(.|#|)QafrOamErikanarjax(.|#|)
AFRONŚE	(.|#|)afrOnSE(.|#|)
AFRONŚE	(.|#|)QafrOnSE(.|#|)
AFU	(.|#|)afu(.|#|)
AFU	(.|#|)Qafu(.|#|)
AFY	(.|#|)af1(.|#|)
AFY	(.|#|)Qaf1(.|#|)
AGENT	(.|#|)agEnt(.|#|)
AGENT	(.|#|)QagEnt(.|#|)
AGILNYMA	(.|#|)agiln1ma(.|#|)
AGILNYMA	(.|#|)Qagiln1ma(.|#|)
AGITPROPKUPKA	(.|#|)agitprOpkupka(.|#|)
AGITPROPKUPKA	(.|#|)QagitprOpkupka(.|#|)
AGNOSTICIZMJE	(.|#|)agnOstitsizmjE(.|#|)
AGNOSTICIZMJE	(.|#|)QagnOstitsizmjE(.|#|)
AGONIJOMA	(.|#|)agOnijOma(.|#|)
AGONIJOMA	(.|#|)QagOnijOma(.|#|)
AGRARNICOW	(.|#|)agrarnitsO(.|#|)
AGRARNICOW	(.|#|)agrarnitso(.|#|)
AGRARNICOW	(.|#|)QagrarnitsO(.|#|)
AGRARNICOW	(.|#|)Qagrarnitso(.|#|)
AGRESIJOWE	(.|#|)agrEsijOwE(.|#|)
AGRESIJOWE	(.|#|)agrEsijowE(.|#|)
AGRESIJOWE	(.|#|)QagrEsijOwE(.|#|)
AGRESIJOWE	(.|#|)QagrEsijowE(.|#|)
AGĚRUJUCY	(.|#|)agjirujuts1(.|#|)
AGĚRUJUCY	(.|#|)Qagjirujuts1(.|#|)
AHA	(.|#|)aha(.|#|)
AHA	(.|#|)Qaha(.|#|)
AHOJ	(.|#|)ahOj(.|#|)
AHOJ	(.|#|)QahOj(.|#|)
AIDSU	(.|#|)aitsu(.|#|)
AIDSU	(.|#|)Qaitsu(.|#|)
AIRBAGAM	(.|#|)airbagam(.|#|)
AIRBAGAM	(.|#|)Qairbagam(.|#|)
AJ	(.|#|)aj(.|#|)
AJ	(.|#|)Qaj(.|#|)
AJDERKACKOWU	(.|#|)ajdErkatskOwu(.|#|)
AJDERKACKOWU	(.|#|)ajdErkatskowu(.|#|)
AJDERKACKOWU	(.|#|)QajdErkatskOwu(.|#|)
AJDERKACKOWU	(.|#|)QajdErkatskowu(.|#|)
AK	(.|#|)ak(.|#|)
AK	(.|#|)Qak(.|#|)
AKCEPTA	(.|#|)aktsEpta(.|#|)
AKCEPTA	(.|#|)QaktsEpta(.|#|)
